"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 10 01:15:58 BST 2024","Fri May 10 01:16:13 BST 2024","14824","","Shop funcionality test","","","","should change currency at country/region menu to Egypt Lyra",""
"passed","Fri May 10 01:22:22 BST 2024","Fri May 10 01:22:27 BST 2024","5097","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one upper-case letter."" when signing up with no upper-case letter in password",""
"passed","Fri May 10 01:16:07 BST 2024","Fri May 10 01:16:13 BST 2024","5828","","Shop funcionality test","","","","should change currency at country/region menu to Germany Euro, and the prices for the good should be in EUR",""
"passed","Fri May 10 00:02:40 BST 2024","Fri May 10 00:02:43 BST 2024","3158","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty password",""
"passed","Fri May 10 00:02:20 BST 2024","Fri May 10 00:02:26 BST 2024","5193","","SignUp funcionality test","","","","should pop up error ""Password must be at least 12 characters."" when signing up with short password",""
"passed","Fri May 10 00:02:16 BST 2024","Fri May 10 00:02:20 BST 2024","4069","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty last name",""
"passed","Fri May 10 00:02:35 BST 2024","Fri May 10 00:02:40 BST 2024","4376","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one upper-case letter."" when signing up with no upper-case letter in password",""
"passed","Fri May 10 01:21:33 BST 2024","Fri May 10 01:21:44 BST 2024","11504","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty email",""
"passed","Fri May 10 01:21:33 BST 2024","Fri May 10 01:21:35 BST 2024","2702","","Shop funcionality test","","","","check the cart should be empty before shopping first item",""
"passed","Fri May 10 00:02:19 BST 2024","Fri May 10 00:02:23 BST 2024","4642","","Shop funcionality test","","","","should change currency at country/region menu to Egypt Lyra",""
"passed","Fri May 10 01:15:18 BST 2024","Fri May 10 01:15:23 BST 2024","4755","","Shop funcionality test","","","","check the cart should be empty before shopping first item",""
"broken","Fri May 10 01:15:19 BST 2024","Fri May 10 01:15:29 BST 2024","10148","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty credentials",""
"passed","Fri May 10 01:15:45 BST 2024","Fri May 10 01:15:52 BST 2024","6213","","Shop funcionality test","","","","should search for item b, and show relevant search results",""
"passed","Fri May 10 00:02:24 BST 2024","Fri May 10 00:02:33 BST 2024","9593","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty email",""
"passed","Fri May 10 01:22:32 BST 2024","Fri May 10 01:22:35 BST 2024","2712","","SignUp funcionality test","","","","should pop up error ""Please accept the terms and conditions"" when signing up without confirming terms",""
"passed","Fri May 10 01:22:12 BST 2024","Fri May 10 01:22:17 BST 2024","5087","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one number."" when signing up with no number in password",""
"passed","Fri May 10 00:02:11 BST 2024","Fri May 10 00:02:16 BST 2024","5363","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty first name",""
"passed","Fri May 10 01:21:43 BST 2024","Fri May 10 01:21:49 BST 2024","5829","","Shop funcionality test","","","","should search for item b, and show relevant search results",""
"passed","Fri May 10 01:21:59 BST 2024","Fri May 10 01:22:04 BST 2024","4691","","Shop funcionality test","","","","should change currency at country/region menu to Germany Euro, and the prices for the good should be in EUR",""
